target_label,temperature,left_right,peak_R,V_drive,f_drive
zurich-2026-04-25_1_left,320.0,left,0.0009654532662984,0.0002639770682435,1319.921961251997
zurich-2026-04-25_1_right,320.0,right,0.0009654532662984,0.0002639770682435,1321.921961251997
zurich-2026-04-25_2_left,320.0,left,0.0031954529319674,0.0008132934453897,1319.922161198723
zurich-2026-04-25_2_right,320.0,right,0.0031954529319674,0.0008132934453897,1321.922161198723
zurich-2026-04-25_3_left,320.0,left,0.0122886295126926,0.0030563354957848,1319.919639482554
zurich-2026-04-25_3_right,320.0,right,0.0122886295126926,0.0030563354957848,1321.919639482554
zurich-2026-04-25_4_left,320.0,left,0.0394143471637262,0.0099258422851562,1319.919139615739
zurich-2026-04-25_4_right,320.0,right,0.0394143471637262,0.0099258422851562,1321.919139615739
zurich-2026-04-25_5_left,320.0,left,0.0593964244869164,0.0151077276095747,1319.918839482488
zurich-2026-04-25_5_right,320.0,right,0.0593964244869164,0.0151077276095747,1321.918839482488
