target_label,temperature,left_right,peak_R,V_drive,f_drive
zurich-2026-04-26_1_left,955.0,left,0.0009551022797606,0.0002990722714457,1319.9013123827162
zurich-2026-04-26_1_right,955.0,right,0.0009551022797606,0.0002990722714457,1321.9013123827162
zurich-2026-04-26_2_left,955.0,left,0.0032116482928245,0.0009399414411745,1319.9013801684932
zurich-2026-04-26_2_right,955.0,right,0.0032116482928245,0.0009399414411745,1321.9013801684932
zurich-2026-04-26_3_left,955.0,left,0.0123039377114169,0.0035354613792151,1319.9013801684932
zurich-2026-04-26_3_right,955.0,right,0.0123039377114169,0.0035354613792151,1321.9013801684932
zurich-2026-04-26_4_left,955.0,left,0.0395348019801907,0.0114517211914062,1319.8986197099648
zurich-2026-04-26_4_right,955.0,right,0.0395348019801907,0.0114517211914062,1321.8986197099648
zurich-2026-04-26_5_left,955.0,left,0.0596960529655963,0.0173736568540334,1319.8986197099648
zurich-2026-04-26_5_right,955.0,right,0.0596960529655963,0.0173736568540334,1321.8986197099648
