target_label,temperature,left_right,peak_R,V_drive,f_drive
zurich-2026-04-24_2_left,147.134,left,0.0009308181468412305,0.0002456665097270161,1319.9283953585782
zurich-2026-04-24_2_right,147.134,right,0.0009308181468412305,0.0002456665097270161,1321.9283953585782
zurich-2026-04-24_3_left,147.134,left,0.0032124989055153604,0.0007812500116415322,1319.9286117188412
zurich-2026-04-24_3_right,147.134,right,0.0032124989055153604,0.0007812500116415322,1321.9286117188412
zurich-2026-04-24_4_left,147.134,left,0.0123848163275592,0.0029525756835937,1319.9284816895206
zurich-2026-04-24_4_right,147.134,right,0.0123848163275592,0.0029525756835937,1321.9284816895206
zurich-2026-04-24_5_left,147.134,left,0.0409765560967887,0.0098800659179687,1319.9279376980025
zurich-2026-04-24_5_right,147.134,right,0.0409765560967887,0.0098800659179687,1321.9279376980025
zurich-2026-04-24_6_left,147.134,left,0.0619420448460435,0.014959717169404,1319.9257542712292
zurich-2026-04-24_6_right,147.134,right,0.0619420448460435,0.014959717169404,1321.9257542712292
