#Procedure: <__main__.lockin_reader>
#Parameters:
#	delay: 30 s
#	SR830 address: 25
#	SR830 bus: 2
#Data:
UTC,timestamp,X channel,Y channel
1704558793.1257024,3.118082284927368,2.3048983515625e-08,-1.9153616796875002e-08
1704558826.2692888,36.26166868209839,1.0915783538461538e-08,-1.1762481384615385e-08
1704558859.1830168,69.17539668083191,4.0418788076923075e-09,-8.340318892307693e-09
1704558892.1227262,102.11510610580444,1.242516923076923e-09,-7.392401000000001e-09
1704558925.119406,135.11178588867188,1.4303832635658912e-10,-6.8103250000000005e-09
1704558958.07211,168.06448984146118,-1.5319062170542637e-09,-6.8103250000000005e-09
1704558991.0018282,200.99420809745789,-2.735774e-09,-5.7152929999999985e-09
1704559023.92555,233.9179298877716,-2.4447360000000008e-09,-4.249188e-09
1704559056.8662598,266.85863971710205,-1.9208670000000005e-09,-3.3760589999999997e-09
1704559089.8079693,299.80034923553467,-2.6775670000000006e-09,-2.4668460155038764e-09
1704559122.7796636,332.772043466568,-4.0945597709923665e-09,-1.513406e-09
1704559155.756354,365.74873399734497,-4.94768e-09,-2.153698e-09
1704559188.6790764,398.6714563369751,-4.132772000000001e-09,-3.6670969999999985e-09
1704559221.6317782,431.6241581439972,-3.667097e-09,-4.016357e-09
1704559254.619464,464.6118438243866,-3.1599848484848483e-09,-4.307395e-09
1704559287.5581875,497.55056738853455,-2.1812222403100774e-09,-5.0072406744186045e-09
1704559320.5168767,530.5092566013336,-1.222368e-09,-5.646171999999999e-09
1704559353.541536,563.5339159965515,-5.820801999999999e-10,-4.939681954198473e-09
1704559386.5881834,596.5805633068085,-4.985454854961833e-10,-3.725319e-09
