#Procedure: <__main__.lockin_reader>
#Parameters:
#	delay: 1 s
#	SR830 address: 25
#	SR830 bus: 2
#Data:
UTC,timestamp,X channel,Y channel
1698941230.9753735,0.027988195419311523,0.00438693,0.0136529
1698941232.0037389,1.0563535690307617,0.00438502,0.0136529
1698941233.0421047,2.094719409942627,0.00438502,0.0136529
1698941234.0814507,3.1340653896331787,0.00438502,0.0136529
1698941235.1218069,4.174421548843384,0.00438502,0.0136529
1698941236.1612046,5.213819265365601,0.00438502,0.013651
1698941237.203559,6.256173610687256,0.00438502,0.0136529
1698941238.2319329,7.284547567367554,0.00438693,0.0136529
1698941239.2742815,8.32689619064331,0.00438502,0.013651
1698941240.3036811,9.356295824050903,0.00438502,0.0136529
1698941241.3450596,10.397674322128296,0.00438502,0.0136529
1698941242.3725471,11.425161838531494,0.00438693,0.0136529
1698941243.4019425,12.454557180404663,0.00438502,0.0136529
1698941244.4442995,13.496914148330688,0.00438693,0.0136529
1698941245.4736958,14.526310443878174,0.00438502,0.0136529
1698941246.5020597,15.55467438697815,0.00438693,0.0136529
1698941247.5434182,16.596032857894897,0.00438693,0.0136529
1698941248.5717824,17.624397039413452,0.00438693,0.0136529
1698941249.612138,18.6647527217865,0.00438693,0.0136529
1698941250.6395042,19.692118883132935,0.00438502,0.0136529
1698941251.6678686,20.72048330307007,0.00438693,0.0136529
1698941252.7092319,21.7618465423584,0.00438693,0.013651
1698941253.7515836,22.804198265075684,0.00438693,0.0136529
1698941254.7819498,23.834564447402954,0.00438693,0.013651
1698941255.8223374,24.8749520778656,0.00438693,0.0136529
1698941256.8498034,25.90241813659668,0.00438693,0.0136529
1698941257.8831646,26.935779333114624,0.00438693,0.0136529
1698941258.9215777,27.97419238090515,0.00438693,0.0136529
1698941259.9539394,29.006554126739502,0.00438693,0.0136529
1698941260.9833071,30.035921812057495,0.00438693,0.0136529
1698941262.0096693,31.062283992767334,0.00438693,0.0136529
1698941263.037039,32.089653730392456,0.00438693,0.0136529
1698941264.0684352,33.121049880981445,0.00438693,0.0136529
1698941265.107796,34.1604106426239,0.00438693,0.0136529
1698941266.1491516,35.2017662525177,0.00438693,0.0136529
1698941267.1755166,36.22813129425049,0.00438693,0.0136529
1698941268.2038848,37.25649952888489,0.00438693,0.0136529
1698941269.2412417,38.293856382369995,0.00438693,0.0136529
1698941270.2825994,39.335214138031006,0.00438693,0.0136529
1698941271.3209586,40.373573303222656,0.00438693,0.0136529
1698941272.3634102,41.416024923324585,0.00438693,0.0136529
1698941273.3977714,42.45038604736328,0.00438693,0.0136529
