#Procedure: <__main__.lockin_reader>
#Parameters:
#	delay: 30 s
#	SR830 address: 25
#	SR830 bus: 2
#Data:
UTC,timestamp,X channel,Y channel
1704496593.6001558,3.0361223220825195,-2.4766128384615383e-08,5.069468069230769e-09
1704496626.6438031,36.07976961135864,-1.6973287441860466e-08,8.30255127131783e-11
1704496659.7185042,69.15447068214417,-1.1414092213740458e-08,-1.8044450000000002e-09
1704496692.703236,102.13920259475708,-8.620964469696968e-09,-2.3865279999999994e-09
1704496725.7069597,135.1429262161255,-7.043155e-09,-2.153698e-09
1704496758.6467257,168.08269214630127,-7.101362999999999e-09,-1.9208670000000005e-09
1704496791.5784507,201.01441717147827,-7.916299000000002e-09,-1.7056267674418601e-09
1704496824.5241978,233.96016430854797,-7.331035426356589e-09,-1.2805760000000001e-09
1704496857.458982,266.8949484825134,-5.538780565891473e-09,-1.047745e-09
1704496890.4006922,299.8366587162018,-4.6566410000000005e-09,-1.5134060000000002e-09
1704496923.3385053,332.77447175979614,-4.6566410000000005e-09,-3.6296453410852714e-09
1704496956.2643156,365.7002820968628,-3.887209000000002e-09,-5.413341000000001e-09
1704496989.1990895,398.63505601882935,-2.5952572499999995e-09,-5.180509999999999e-09
1704497022.141794,431.57776045799255,-2.444736e-09,-4.540226e-09
1704497055.111535,464.5475015640259,-2.7939819999999997e-09,-3.4484847480916033e-09
1704497088.0272622,497.46322870254517,-2.9686050000000006e-09,-3.841734000000002e-09
1704497120.9649746,530.4009411334991,-2.968605e-09,-4.365603e-09
1704497153.9316707,563.3676371574402,-2.715177676923077e-09,-4.0745649999999996e-09
1704497186.8774228,596.3133893013,-4.17338223255814e-09,-3.1355571782945737e-09
1704497219.842169,629.2781355381012,-5.471549000000001e-09,-2.677567e-09
1704497252.8018682,662.2378346920013,-5.5879639999999994e-09,-2.677567e-09
1704497285.7196405,695.1556069850922,-5.413341000000001e-09,-3.783525999999999e-09
1704497318.6683464,728.1043128967285,-5.355133e-09,-4.598434e-09
1704497351.6320872,761.0680537223816,-4.6566410000000005e-09,-4.6566410000000005e-09
1704497384.579883,794.0158495903015,-5.064094999999999e-09,-4.19098e-09
1704497417.5525744,826.9885408878326,-4.7281790763358775e-09,-3.069024183206107e-09
1704497450.4812946,859.9172611236572,-3.841734000000002e-09,-2.1536979999999995e-09
1704497483.4450758,892.8810422420502,-3.203674730769231e-09,-2.211905e-09
1704497516.4028225,925.838788986206,-2.5029440000000005e-09,-1.8725095846153845e-09
1704497549.3895037,958.8254702091217,-3.714205984732824e-09,-1.105953e-09
1704497582.3912253,991.8271918296814,-5.705288499999998e-09,-5.820802e-10
1704497615.4159849,1024.8519513607025,-6.8685320000000015e-09,-2.328324e-10
1704497648.4226973,1057.8586637973785,-6.984948e-09,-1.164162e-10
1704497681.4504561,1090.8864226341248,-5.704379e-09,-5.820811e-11
1704497714.4561708,1123.8921372890472,-4.714849e-09,-1.164162e-10
1704497747.399016,1156.8349823951721,-3.5953524883720934e-09,-1.5797360465116277e-09
1704497780.3477855,1189.783751964569,-3.3945588992248064e-09,-4.028540069767442e-09
1704497813.286547,1222.7225134372711,-3.783525999999999e-09,-4.889472e-09
1704497846.240248,1255.6762144565582,-4.0745649999999996e-09,-6.11989243076923e-09
1704497879.1999485,1288.6359150409698,-4.307395e-09,-6.5774939999999994e-09
1704497912.1656451,1321.6016116142273,-5.380654969230768e-09,-5.184092030769231e-09
1704497945.1343389,1354.5703053474426,-6.992111938461539e-09,-4.040983461538462e-09
1704497978.0980365,1387.5340030193329,-6.443616600000001e-09,-3.08502e-09
1704498011.0657308,1420.5016973018646,-4.553658615384614e-09,-1.979075e-09
1704498043.9974475,1453.4334139823914,-3.201435999999999e-09,-1.8540178593749994e-09
1704498076.9471543,1486.3831207752228,-2.8521899999999994e-09,-3.1518012713178293e-09
1704498109.8948615,1519.3308279514313,-2.6775670000000006e-09,-4.074564999999999e-09
1704498142.848565,1552.2845315933228,-3.143228e-09,-4.132772000000001e-09
1704498175.8062649,1585.2422313690186,-3.2462106153846146e-09,-3.5506820000000002e-09
1704498208.7509747,1618.1869411468506,-4.423811e-09,-3.841734000000001e-09
1704498241.6906843,1651.1266508102417,-6.4475422325581405e-09,-4.7256783953488375e-09
1704498274.6533844,1684.089350938797,-6.810325e-09,-5.005887e-09
1704498307.5731094,1717.0090758800507,-5.817611749999997e-09,-5.914927250000001e-09
1704498340.5617905,1749.9977569580078,-5.133327053030303e-09,-6.984948e-09
1704498373.524488,1782.9604544639587,-4.443959576923077e-09,-6.810325e-09
1704498406.4751935,1815.911159992218,-3.958149e-09,-6.549285507692308e-09
