#Procedure: <__main__.MCT_calib>
#Parameters:
#	Zero pressure paro sci period: 2.49138e-05 s
#	AH2500A address: GPIB1::3::INSTR
#	AH2500 avg. exponent: 7
#	Comments/Notes: 
#	HP counter address: GPIB0::9::INSTR
#	counter gate time: 4 s
#Data:
UTC,timestamp,C,Loss,Vex,Period,P_paro
3827747238.6517143,2082845028.0930026,12.653881,0.01337,0.25,2.491382412885e-05,-0.0003693227310212665
3827747243.8286853,2082845033.2699735,12.653874,0.01311,0.25,2.491382399842e-05,-0.0003727879697827915
3827747249.0175934,2082845038.4588816,12.653886,0.0127,0.25,2.491382380985e-05,-0.00037779786083522285
3827747254.187537,2082845043.6288254,12.6538,0.01284,0.25,2.491382365636e-05,-0.00038187575326564154
3827747259.368472,2082845048.8097603,12.65375,0.0129,0.25,2.49138235582e-05,-0.00038448364936169335
3827747264.5444107,2082845053.985699,12.653746,0.01311,0.25,2.491382345633e-05,-0.00038719011176738434
3827747269.723391,2082845059.1646793,12.653734,0.01333,0.25,2.491382328651e-05,-0.0003917018567478781
3827747274.9522963,2082845064.3935845,12.653771,0.01361,0.25,2.491382317637e-05,-0.0003946280350383578
3827747280.123228,2082845069.5645163,12.653781,0.01363,0.25,2.4913823104e-05,-0.00039655074724338454
3827747285.313208,2082845074.7544963,12.653847,0.01346,0.25,2.491382298994e-05,-0.00039958107143034106
3827747290.5021477,2082845079.943436,12.653824,0.01368,0.25,2.491382288534e-05,-0.0004023600642772436
3827747295.6601086,2082845085.1013968,12.653865,0.01326,0.25,2.491382271513e-05,-0.0004068821711053584
3827747300.8030844,2082845090.2443726,12.653896,0.01301,0.25,2.491382265214e-05,-0.00040855567741160414
3827747305.969989,2082845095.411277,12.653865,0.0129,0.25,2.491382255277e-05,-0.00041119572056070404
3827747311.129929,2082845100.5712173,12.653825,0.01294,0.25,2.491382244585e-05,-0.00041403635076854914
3827747316.2928696,2082845105.7341578,12.653771,0.01282,0.25,2.491382230988e-05,-0.0004176487760733155
3827747321.4748077,2082845110.916096,12.653755,0.01337,0.25,2.491382226856e-05,-0.00041874655787905334
3827747326.6535125,2082845116.0948007,12.653829,0.0137,0.25,2.49138221832e-05,-0.000421014386206153
3827747331.8094473,2082845121.2507355,12.653828,0.01344,0.25,2.491382200754e-05,-0.0004256812879700335
3827747336.958392,2082845126.3996804,12.653844,0.0132,0.25,2.491382186187e-05,-0.00042955142123232996
3827747342.1593347,2082845131.600623,12.653855,0.01306,0.25,2.491382181615e-05,-0.0004307661014362962
3827747347.318267,2082845136.759555,12.65384,0.01283,0.25,2.491382168886e-05,-0.0004341479183627455
3827747352.4842153,2082845141.9255035,12.653812,0.01281,0.25,2.493172373895e-05,0.4746736612045283
3827747357.667148,2082845147.1084363,12.653763,0.01303,0.25,2.493150528656e-05,0.4688822361768389
3827747362.8760867,2082845152.317375,12.653962,0.01322,0.25,2.493145211015e-05,0.46747244519889986
3827747368.070028,2082845157.511316,12.656693,0.01323,0.25,2.493141791506e-05,0.4665658743722616
3827747373.2770023,2082845162.7182906,12.661116,0.01345,0.25,2.493139140262e-05,0.4658629812916768
3827747378.467946,2082845167.9092343,12.665822,0.01338,0.25,2.493136835046e-05,0.46525182472053617
3827747383.649851,2082845173.091139,12.670479,0.01337,0.25,2.493134642572e-05,0.4646705566285135
3827747388.8167906,2082845178.2580788,12.675065,0.01338,0.25,2.49313252566e-05,0.46410932006213756
3827747394.007762,2082845183.4490502,12.679505,0.01318,0.25,2.493130465482e-05,0.4635631234685578
3827747399.202667,2082845188.6439555,12.683765,0.01306,0.25,2.493128448322e-05,0.4630283305454993
3827747404.3796387,2082845193.820927,12.687973,0.01296,0.25,2.493126485826e-05,0.46250802899417287
3827747409.5505486,2082845198.9918368,12.691974,0.01299,0.25,2.49312457701e-05,0.4620019580356716
3827747414.716489,2082845204.157777,12.6959,0.01315,0.25,2.493122703097e-05,0.46150513953691513
3827747419.874461,2082845209.3157494,12.6997,0.01322,0.25,2.493120880969e-05,0.46102204939124886
