#Procedure: <__main__.ds345_sr830_fsweep>
#Parameters:
#	Buffer measure time (s): 3
#	Delay (s): 1
#	Drive Amplitude (Vpp): 5
#	DS345 addr: 2::16
#	stop frequency (Hz): 1280
#	start frequency (Hz): 1270
#	Frequency Step (Hz): 0.1
#	SR830 addr.: 2::25
#Data:
UTC,timestamp,f,X_sr,sigma_xsr,Y_sr,sigma_ysr
1702162017.584927,2.0119733810424805,1270.0,0.009217755021017607,2.9561768784738852e-05,0.02429116711279101,1.44430815264918e-05
1702162023.052589,7.479635238647461,1270.1,0.009330759684244792,2.3914630826089893e-05,0.024599894205729167,1.339021314781164e-05
1702162028.5369458,12.96399211883545,1270.2,0.009495583244436077,8.660247282006054e-06,0.02492541577442583,1.8599447522400986e-05
1702162033.9879875,18.41503381729126,1270.3,0.009648314122374916,2.10366712092529e-05,0.02525734039674322,1.680460074908579e-05
1702162039.4359176,23.862963914871216,1270.4,0.00981910225537567,1.750159667138126e-05,0.02558159477101113,2.416223564248135e-05
1702162044.8667958,29.29384207725525,1270.5,0.009984868095520346,1.565429902678186e-05,0.02593907442959872,1.585244378882988e-05
1702162050.3041608,34.73120713233948,1270.6,0.010176451088430407,2.5826160004222504e-05,0.026316919059396905,1.3274190461492525e-05
1702162055.749074,40.17612028121948,1270.7,0.010367959578407002,1.8956995541847567e-05,0.026698250184084643,2.476364754941907e-05
1702162061.1859365,45.612982749938965,1270.8,0.010557539810936455,2.7382506789085015e-05,0.027093767321891733,1.6357995618150843e-05
1702162066.6194994,51.04654574394226,1270.9,0.010778294527594419,2.9905218897974056e-05,0.027483639232615098,1.3725128009269752e-05
1702162072.0531538,56.48020005226135,1271.0,0.011010593271510487,1.2097385912125375e-05,0.027909702158229237,2.3919978181966036e-05
1702162077.4922833,61.91932964324951,1271.1,0.011249470838250961,2.05464371459921e-05,0.02833496950526926,1.8726281785297326e-05
1702162082.9289002,67.35594654083252,1271.2,0.011505954236869353,1.4413767373041024e-05,0.028803701541190805,1.3275829903101833e-05
1702162088.3632388,72.79028511047363,1271.3,0.01177602145761092,2.0075243834389847e-05,0.029273068841128427,2.3646008027396476e-05
1702162093.798347,78.22539329528809,1271.4,0.012060173065308107,1.7333275670170723e-05,0.029768059052616716,1.2504405394657159e-05
1702162099.2339184,83.66096472740173,1271.5,0.012360363720572568,1.211422968003777e-05,0.030256067367798505,1.817668605271163e-05
1702162104.6700475,89.0970938205719,1271.6,0.012709316722849473,1.409436337803312e-05,0.030791950735816344,1.783796363303425e-05
1702162110.1047697,94.53181600570679,1271.7,0.013048457589378969,1.780357597084566e-05,0.03135358841023981,1.3426279310553825e-05
1702162115.540662,99.9677083492279,1271.8,0.013437896687662107,2.387246770062149e-05,0.03191894572103518,2.676668610569793e-05
1702162120.9731727,105.40021896362305,1271.9,0.013814875148834392,1.6561565072453354e-05,0.032511593823764416,1.9258753352940954e-05
1702162126.4087045,110.83575081825256,1272.0,0.014242712826652322,1.798793203623525e-05,0.033138428142364014,1.7084229331216097e-05
1702162131.8426545,116.26970076560974,1272.1,0.014676115758607345,2.2634061219778457e-05,0.03377286816536981,2.592480865998762e-05
1702162137.2839482,121.7109944820404,1272.2,0.015196375100009412,1.9605044308995793e-05,0.034452752415913654,1.7520480337062783e-05
1702162142.717275,127.14432120323181,1272.3,0.0157233457514309,1.1484854464572028e-05,0.03515548502060181,2.521986604503037e-05
1702162148.153399,132.58044528961182,1272.4,0.016292949411320815,1.519021979277699e-05,0.03590435905252549,2.2496635857531182e-05
1702162153.5890594,138.01610565185547,1272.5,0.01691754403682438,1.595166412499466e-05,0.036669985197953274,1.2181946121421572e-05
1702162159.0322268,143.4592730998993,1272.6,0.017583384890473352,1.7930465576414575e-05,0.03748588102409638,1.6924121579873155e-05
1702162164.4659789,148.89302515983582,1272.7,0.018329038976985502,1.75115085345252e-05,0.038307087944153155,2.200036062869586e-05
1702162169.9009545,154.3280007839203,1272.8,0.01911828221087475,1.665927755297079e-05,0.039188104141827725,2.1371891471968232e-05
1702162175.3359454,159.76299166679382,1272.9,0.01999252237738135,2.1996700264973182e-05,0.040110327980735085,2.256644679648441e-05
1702162180.7719038,165.19895005226135,1273.0,0.020946523084997493,1.574322232313368e-05,0.0410579436603077,1.767231557458168e-05
1702162186.2079337,170.6349799633026,1273.1,0.0219491560828877,2.284936990994149e-05,0.042060382863417026,2.0546885250138608e-05
1702162191.6572444,176.08429074287415,1273.2,0.023111866819491508,2.228998430352367e-05,0.04308585661003388,1.73245532707333e-05
1702162197.094274,181.52132034301758,1273.3,0.024373426794368314,1.910488872234226e-05,0.04416583056118399,1.5688941488033706e-05
1702162202.5389385,186.96598482131958,1273.4,0.025748716300749874,2.618747962639498e-05,0.045264809645482976,1.0482132307007122e-05
1702162207.9706008,192.39764714241028,1273.5,0.02728490778469147,2.2154280010985137e-05,0.046431199752073236,2.4292506137020262e-05
