#Procedure: <__main__.ds345_sr830_fsweep>
#Parameters:
#	Buffer measure time (s): 3
#	Delay (s): 1
#	Drive Amplitude (Vpp): 5
#	DS345 addr: 2::16
#	stop frequency (Hz): 1350
#	start frequency (Hz): 1150
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#Data:
UTC,timestamp,f,X_sr,sigma_xsr,Y_sr,sigma_ysr
1702157627.948584,2.0171523094177246,1150.0,1.992477641086553,2.7702916748544997e-05,0.002888861581066422,2.4059577333374404e-05
1702157633.4120789,7.480647087097168,1151.0,1.9924598642643667,2.097075403802265e-05,0.002866972852873322,2.6804580190544025e-05
1702157638.8539922,12.922560453414917,1152.0,1.9924782307942708,2.0697028584042992e-05,0.0028753662109375,3.165012734976605e-05
1702157644.3119805,18.38054871559143,1153.0,1.9924558259077978,2.4331142723086514e-05,0.002888711421205656,2.963184280330803e-05
1702157649.7540884,23.822656631469727,1154.0,1.9924554671833221,1.640095531626148e-05,0.002896721987800802,2.731369888780758e-05
1702157655.2022161,29.270784378051758,1155.0,1.9924418403503092,1.4395711777938884e-05,0.0028907245493190173,2.438842836877328e-05
1702157660.6483374,34.71690559387207,1156.0,1.9924357668303423,1.8927395760542532e-05,0.002905583924238621,3.459600779275585e-05
1702157666.0969234,40.165491580963135,1157.0,1.9924418948580782,1.4414751577926528e-05,0.0029078308677418004,2.6794053315461517e-05
1702157671.5381186,45.60668683052063,1158.0,1.9924325382008272,2.0736279863487317e-05,0.002901944247159091,2.2367325517962508e-05
1702157676.9827921,51.05136036872864,1159.0,1.992405447730406,3.232024991390354e-05,0.0028879094251336897,2.559518995917116e-05
1702157682.4245908,56.49315905570984,1160.0,0.4190255005052119,0.11372884838006403,0.0028562823545585556,0.00026747447450507127
1702157687.8238099,61.892378091812134,1161.0,0.49243168147851824,1.659910169339168e-05,0.0029226504814832245,2.632781836538775e-05
1702157693.277768,67.34633612632751,1162.0,0.4924030942291301,2.46014217008184e-05,0.0029204035379800453,1.9637341133422575e-05
