#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23100
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 256
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717698148.144771,6.03051495552063,22900.0,2.0484905689954758e-05,1.1055123584997147e-06,0.0004369886592030525,2.1758606522923485e-12,4.597433544972773e-13,2.23423772622515e-12,-8.238076887323587e-12,2.1758606522923485e-12
1717698192.995051,50.88079476356506,22901.0,2.074986696243286e-05,1.1144285470576082e-06,0.00043767131865024567,2.308045203960168e-12,4.520550600517481e-13,2.2416468302318298e-12,-8.083866909203152e-12,2.308045203960168e-12
1717698237.8559723,95.74171614646912,22902.0,2.0658131688833237e-05,9.984619586369833e-07,0.0004382762126624584,2.124848267292249e-12,3.438638263020266e-13,2.2084703818475966e-12,-8.028744336030513e-12,2.124848267292249e-12
1717698282.6888084,140.57455229759216,22903.0,2.0773615688085556e-05,1.0991428425175543e-06,0.00043896492570638657,2.0901427222120033e-12,3.938793735613899e-13,2.1400360382850756e-12,-8.087835956516187e-12,2.0901427222120033e-12
1717698327.5240657,185.409809589386,22904.0,2.1006911993026733e-05,1.0942909469482447e-06,0.0004397556185722351,2.1717304419701106e-12,4.567457523307894e-13,2.2986684567670154e-12,-7.878891983281733e-12,2.1717304419701106e-12
1717698372.3647346,230.25047850608826,22905.0,2.0913314074277878e-05,1.0681875106104575e-06,0.0004404834471642971,2.142355406566784e-12,3.6071146070071336e-13,2.0695346202572115e-12,-7.616657304865271e-12,2.142355406566784e-12
1717698417.173413,275.05915689468384,22906.0,2.0969193428754807e-05,9.670428438409037e-07,0.00044104689732193947,2.122213755316437e-12,3.1233349240267216e-13,2.0791080878021933e-12,-7.662676049235984e-12,2.122213755316437e-12
1717698462.0746264,319.9603703022003,22907.0,2.131843939423561e-05,1.091650601029412e-06,0.00044190604239702225,2.0288433611094023e-12,5.885569809294111e-13,2.1427867085207755e-12,-7.617156905226352e-12,2.0288433611094023e-12
1717698507.0894454,364.9751892089844,22908.0,2.1249055862426758e-05,1.065771634307274e-06,0.00044274143874645233,2.19073758385661e-12,5.526967772340186e-13,2.2620525653805162e-12,-7.692235737266628e-12,2.19073758385661e-12
1717698552.0128672,409.8986110687256,22909.0,2.1405983716249466e-05,1.117161607556414e-06,0.0004435330629348755,2.178782563217255e-12,5.913602940665896e-13,2.1827003574902414e-12,-7.513045741092128e-12,2.178782563217255e-12
1717698597.0029063,454.8886501789093,22910.0,2.1482352167367935e-05,1.021844544215509e-06,0.00044421153143048286,2.148452966971342e-12,3.9901415505028126e-13,2.0820613720715473e-12,-7.2459260813673154e-12,2.148452966971342e-12
1717698641.9480886,499.8338325023651,22911.0,2.156803384423256e-05,1.1465567213239062e-06,0.00044517358765006065,2.3209007224074406e-12,3.8710701311117646e-13,2.0327972887159604e-12,-7.341488528211926e-12,2.3209007224074406e-12
1717698686.8985093,544.7842531204224,22912.0,2.1718908101320267e-05,1.0472140517595166e-06,0.0004460662603378296,2.13761218462356e-12,3.772815393432438e-13,2.057227078370325e-12,-7.152084480210874e-12,2.13761218462356e-12
1717698731.7893722,589.6751160621643,22913.0,2.207467332482338e-05,1.0306900059875299e-06,0.00044687697663903236,2.1724665919317837e-12,2.4011348465080573e-13,2.1598644771895465e-12,-7.250727795948819e-12,2.1724665919317837e-12
1717698776.6521194,634.5378632545471,22914.0,2.2001564502716064e-05,1.1277974145039573e-06,0.0004477277398109436,2.188828960564725e-12,3.2154834350706096e-13,2.3923426814506652e-12,-6.949496533792399e-12,2.188828960564725e-12
1717698821.4956746,679.381418466568,22915.0,2.208491787314415e-05,1.0720415887233275e-06,0.0004487275145947933,2.0773876618358262e-12,5.011546733157957e-13,2.1342405226091143e-12,-7.058242879054433e-12,2.0773876618358262e-12
