#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23100
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 30
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717630289.1885538,6.016634225845337,22900.0,2.0352999369303384e-05,4.4277153896281304e-07,0.00043679475784301757,6.927281116733897e-13,1.9255708139098716e-13,6.36352675279946e-13,-8.234242917145214e-12,6.927281116733897e-13
1717630330.344768,47.17284846305847,22901.0,2.058744430541992e-05,3.511450546600879e-07,0.00043735504150390627,4.897639698098829e-13,4.222992326200862e-13,6.238189795374333e-13,-7.893419251558954e-12,4.897639698098829e-13
1717630371.5037103,88.33179068565369,22902.0,2.0686785380045573e-05,2.8165253236562967e-07,0.0004380305608113607,7.557052083073472e-13,5.78855482065895e-13,7.394760714021205e-13,-7.835154747226625e-12,7.557052083073472e-13
1717630412.6461985,129.47427892684937,22903.0,2.073049545288086e-05,3.7741241866430605e-07,0.0004387537638346354,7.13876675600684e-13,2.1932085777128426e-13,4.875508411967531e-13,-7.900761526495141e-12,7.13876675600684e-13
1717630453.7934322,170.62151265144348,22904.0,2.073049545288086e-05,3.981780620601002e-07,0.0004394253094991048,6.630407836459594e-13,4.91221877988816e-13,7.066518879183946e-13,-7.85126038257052e-12,6.630407836459594e-13
1717630494.9510052,211.77908563613892,22905.0,2.0873546600341796e-05,3.945929525002906e-07,0.0004400928815205892,5.589115589766303e-13,1.6224059133188953e-13,6.220938154183352e-13,-7.841786479427053e-12,5.589115589766303e-13
1717630536.0940573,252.92213773727417,22906.0,2.095301946004232e-05,3.3531990766191135e-07,0.00044075647989908856,7.335865411552247e-13,2.0913641189205616e-13,6.648206902033597e-13,-7.526779199906741e-12,7.335865411552247e-13
1717630577.257162,294.0852425098419,22907.0,2.1096070607503255e-05,3.502445657955854e-07,0.0004416426022847494,6.122470966218224e-13,4.234834705130197e-13,6.775751821394636e-13,-7.858602657506708e-12,6.122470966218224e-13
1717630618.3935483,335.2216286659241,22908.0,2.1219253540039062e-05,4.1065250024044714e-07,0.0004424015680948893,7.223776986042352e-13,3.1477043194172436e-13,5.892855810853383e-13,-7.531989846635648e-12,7.223776986042352e-13
1717630659.5663497,376.39443016052246,22909.0,2.1370251973470054e-05,4.2419453128441234e-07,0.00044322808583577473,6.333874643974993e-13,3.197442310920451e-14,6.51377563005451e-13,-7.559227318173118e-12,6.333874643974993e-13
1717630700.7046993,417.5327796936035,22910.0,2.151330312093099e-05,3.353905335427791e-07,0.00044391552607218426,5.843983508632488e-13,3.5835038640167717e-13,6.792151397391226e-13,-7.588122722760697e-12,5.843983508632488e-13
1717630741.8435445,458.6716248989105,22911.0,2.157290776570638e-05,3.4888947469792116e-07,0.0004448254903157552,5.791201791502135e-13,2.5247951877342225e-13,7.338906343679885e-13,-7.512805192770125e-12,5.791201791502135e-13
1717630782.9915786,499.8196589946747,22912.0,2.1791458129882814e-05,4.3354612022990726e-07,0.00044563611348470055,5.412765241558592e-13,4.149569576838985e-13,6.105173498755489e-13,-7.170560441712344e-12,5.412765241558592e-13
1717630824.1456773,540.9737577438354,22913.0,2.1811326344807943e-05,3.191060465640044e-07,0.00044645071029663085,6.940765655243384e-13,2.1600499167107045e-13,8.275766209882282e-13,-7.342274936187701e-12,6.940765655243384e-13
1717630865.2948587,582.1229391098022,22914.0,2.2010008494059244e-05,2.8789036570676103e-07,0.0004473567008972168,7.172681683781331e-13,3.6545581375927817e-13,6.750247819473283e-13,-7.169376203819411e-12,7.172681683781331e-13
1717630906.4518201,623.2799005508423,22915.0,2.2125244140625e-05,2.913523162177938e-07,0.00044825077056884763,5.418284256494749e-13,3.993250174971763e-13,4.569675581316066e-13,-7.224561689630112e-12,5.418284256494749e-13
1717630947.5915484,664.4196288585663,22916.0,2.2431214650472004e-05,3.808276083583262e-07,0.00044919649759928384,6.475527582854531e-13,4.91932420724576e-13,7.188962338664761e-13,-6.897712031180466e-12,6.475527582854531e-13
1717630988.7508736,705.5789539813995,22917.0,2.2463003794352214e-05,3.4643695384466007e-07,0.00045035680135091147,7.390936752376028e-13,5.22722605940847e-13,6.306767164872213e-13,-6.867395541121368e-12,7.390936752376028e-13
1717631029.9117954,746.739875793457,22918.0,2.2530555725097656e-05,3.844384073399806e-07,0.00045141776402791344,6.617628578983483e-13,5.028274093395642e-13,8.267853683698158e-13,-6.593599740275143e-12,6.617628578983483e-13
1717631071.0509372,787.8790175914764,22919.0,2.280871073404948e-05,2.410531185166534e-07,0.00045240322748819987,7.414685094909206e-13,5.64644627350693e-13,6.605264109574692e-13,-6.649258921243017e-12,7.414685094909206e-13
1717631112.1955454,829.0236258506775,22920.0,2.280871073404948e-05,3.3904280674777886e-07,0.00045353174209594727,6.86128263079671e-13,3.642715758663447e-13,6.877768219441557e-13,-6.480149750132114e-12,6.86128263079671e-13
1717631153.3351815,870.1632618904114,22921.0,2.3158391316731772e-05,2.7172280943042056e-07,0.00045448939005533854,6.6444167914262e-13,3.9127219982522853e-13,7.813599822731297e-13,-6.487255177489715e-12,6.6444167914262e-13
1717631194.4850655,911.3131458759308,22922.0,2.3384888966878254e-05,3.6037677818968e-07,0.0004558086395263672,6.398896175634207e-13,3.993250174971763e-13,6.695368956871696e-13,-6.522545466699133e-12,6.398896175634207e-13
1717631235.6265984,952.45467877388,22923.0,2.3627281188964842e-05,3.6729876226715543e-07,0.0004570245742797852,6.246252634743336e-13,2.8445394188262676e-13,7.201727933426118e-13,-6.071587677070056e-12,6.246252634743336e-13
1717631276.7732558,993.6013362407684,22924.0,2.3714701334635417e-05,3.548799127223667e-07,0.00045821269353230797,5.846446589512607e-13,4.291678123991005e-13,7.371302439079731e-13,-6.235959896609226e-12,5.846446589512607e-13
1717631317.9120445,1034.7401249408722,22925.0,2.4000803629557293e-05,3.7613422286349083e-07,0.000459595521291097,5.807676975829344e-13,5.151434834260726e-13,6.975458750447545e-13,-5.782633631194282e-12,5.807676975829344e-13
1717631359.083395,1075.9114754199982,22926.0,2.428293228149414e-05,3.682647464783243e-07,0.000460962454477946,5.791562604312499e-13,4.945377440890297e-13,5.927181518693342e-13,-5.893951993130031e-12,5.791562604312499e-13
1717631400.2390532,1117.0671336650848,22927.0,2.4481614430745444e-05,3.293332676091746e-07,0.00046225786209106443,6.924461241532778e-13,3.694822225952521e-13,8.207081312900104e-13,-5.6575781097005045e-12,6.924461241532778e-13
1717631441.3880606,1158.216140985489,22928.0,2.468427022298177e-05,3.0304075821141587e-07,0.000463716189066569,5.969132274371326e-13,5.940137270954437e-13,8.155998975181176e-13,-5.523285532641846e-12,5.969132274371326e-13
1717631482.5514839,1199.3795642852783,22929.0,2.496639887491862e-05,3.585318337585776e-07,0.00046499172846476236,7.556254799761023e-13,2.520058236162489e-13,5.624002483960612e-13,-5.520206514120218e-12,7.556254799761023e-13
1717631523.6829164,1240.5109968185425,22930.0,2.5113423665364582e-05,3.554134333133364e-07,0.0004667480786641439,7.315178854808159e-13,6.513308411134252e-13,7.470376882462972e-13,-5.353465818795181e-12,7.315178854808159e-13
1717631564.832513,1281.660593509674,22931.0,2.5546550750732423e-05,3.415715404008485e-07,0.0004683256149291992,6.570078401712504e-13,4.156675004196586e-13,5.939580539731123e-13,-5.159961347089848e-12,6.570078401712504e-13
1717631605.987013,1322.8150935173035,22932.0,2.5701522827148437e-05,3.4080794083899755e-07,0.00047008593877156577,6.938421820623467e-13,6.47541279856038e-13,6.813724074501406e-13,-5.0133526959446806e-12,6.938421820623467e-13
1717631647.142594,1363.9706745147705,22933.0,2.6178359985351562e-05,3.177920822005622e-07,0.00047173500061035154,7.187422996374466e-13,3.23770639928019e-13,6.582599297271007e-13,-4.911745084730986e-12,7.187422996374466e-13
1717631688.2861507,1405.1142311096191,22934.0,2.6508172353108725e-05,3.1311197309640107e-07,0.00047344366709391276,5.225709993587974e-13,5.665394079793866e-13,6.770865421056861e-13,-4.5962641100535015e-12,5.225709993587974e-13
1717631729.4348748,1446.2629551887512,22935.0,2.6845932006835936e-05,3.8122129297928676e-07,0.0004754344622294108,7.06906545242652e-13,4.263256414560601e-13,5.482057088017144e-13,-4.7007138922102365e-12,7.06906545242652e-13
1717631770.6072495,1487.435329914093,22936.0,2.710421880086263e-05,4.22572223904742e-07,0.0004773060480753581,7.142374260375288e-13,6.918317770517508e-13,7.753786729243148e-13,-4.46931380793103e-12,7.142374260375288e-13
1717631811.779347,1528.6074273586273,22937.0,2.752542495727539e-05,3.320073238262225e-07,0.0004791696866353353,7.748901728353892e-13,4.035882739117369e-13,5.030368246709917e-13,-4.216123746421848e-12,7.748901728353892e-13
1717631852.9319003,1569.7599806785583,22938.0,2.804994583129883e-05,4.1427014790342175e-07,0.00048140287399291994,6.355492210497797e-13,6.300145590406222e-13,7.65593082717724e-13,-3.911300912780765e-12,6.355492210497797e-13
