#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Buffer measure time (s): 3
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 24000
#	start frequency (Hz): 22000
#	Frequency Step (Hz): 1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	DS345 addr: 2::16
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1702264270.7232425,6.016568422317505,22000.0,0.0026265918574434645,5.1060976637446044e-06,0.002467378022822928,1.0506217487037604e-07,-9.375805173941116e-06,1.3375376261549774e-07,-5.679935751918783e-06,1.0506217487037604e-07
1702264277.94658,13.239905834197998,22001.0,0.0026008056929386946,3.1391259307482765e-06,0.0024721483152067834,1.4540029313459594e-07,-9.247016503041483e-06,6.807453941730645e-08,-5.480965690942083e-06,1.4540029313459594e-07
1702264285.176549,20.4698748588562,22002.0,0.0026161312422853834,4.690487426322263e-06,0.0024785583323620737,1.0432314452579763e-07,-9.269280200625988e-06,9.049798623573107e-08,-5.671162495112166e-06,1.0432314452579763e-07
1702264292.3957138,27.689039707183838,22003.0,0.002535178306254935,2.9703547958078797e-06,0.0024911653488240344,1.0423890991365906e-07,-9.027617682973702e-06,1.2757771189365535e-07,-5.776065081397534e-06,1.0423890991365906e-07
1702264299.6216376,34.914963483810425,22004.0,0.0025635127057420447,3.4676874481060744e-06,0.002492845375487145,8.739431885281311e-08,-9.156818045897687e-06,8.241326918603613e-08,-5.835365068088186e-06,8.739431885281311e-08
1702264306.8526633,42.145989179611206,22005.0,0.002552124096992168,1.3680498696976944e-05,0.002475007734400161,2.9687391429253473e-07,-9.037683063999135e-06,1.4579615572173893e-07,-5.437056236761682e-06,2.9687391429253473e-07
1702264314.0827131,49.376039028167725,22006.0,0.0024720385869344075,2.301380209630866e-05,0.0024761924743652345,9.716499789802941e-08,-8.816028634707132e-06,1.839374976483503e-07,-5.753333369890849e-06,9.716499789802941e-08
1702264321.3015778,56.59490370750427,22007.0,0.002324747912427212,5.215655191825089e-06,0.0025203262871884287,7.574460958240055e-08,-8.068297632989731e-06,9.691255873697691e-08,-5.916887993349674e-06,7.574460958240055e-08
1702264328.5231092,63.81643509864807,22008.0,0.0023029136657714846,9.224653610664678e-06,0.002553296724955241,1.6048340604656462e-07,-8.355383946503506e-06,1.401318123365615e-07,-5.713824568123653e-06,1.6048340604656462e-07
