#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23000
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 50
#	Buffer/sample size per measurement: 2000
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717774779.0208337,6.002619028091431,22900.0,2.0487010478973387e-05,3.416795645608405e-07,0.0004358956217765808,6.663766699757433e-13,4.17102796745894e-13,6.850242686466209e-13,-8.147445385020547e-12,6.663766699757433e-13
1717776795.7293131,2022.711098432541,22950.0,3.5627424716949465e-05,3.6999344512908247e-07,0.0005133259892463684,6.709632427345151e-13,1.011091654845586e-12,6.731875297991256e-13,-9.815472878926812e-13,6.709632427345151e-13
1717778812.6848724,4039.6666576862335,23000.0,4.620754718780518e-05,4.634668149890504e-07,0.00016034489870071412,6.773049533887276e-13,5.587427409636803e-12,6.658394539159756e-13,-3.326018216398552e-11,6.773049533887276e-13
