#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 21850
#	start frequency (Hz): 21650
#	Frequency Step (Hz): 0.2
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717520463.235558,6.013758659362793,21650.0,2.05041e-05,0.000407221,1.27188e-12,-8.66868e-12
1717520466.2992532,9.077453851699829,21650.2,2.08617e-05,0.000406625,1.00187e-12,-8.2388e-12
1717520469.3606532,12.138853788375854,21650.4,2.08617e-05,0.000407102,1.02674e-12,-8.61894e-12
1717520472.4267752,15.204975843429565,21650.6,2.0981e-05,0.000406506,5.96859e-13,-8.64736e-12
1717520475.4888692,18.267069816589355,21650.8,2.07425e-05,0.000407578,8.06469e-13,-8.77526e-12
1717520478.550365,21.32856559753418,21651.0,1.99081e-05,0.000407817,8.88182e-13,-9.08434e-12
1717520481.6121209,24.390321493148804,21651.2,2.05041e-05,0.000407459,1.23635e-12,-9.39343e-12
1717520484.6741126,27.45231318473816,21651.4,2.03849e-05,0.000407698,1.71241e-12,-9.5462e-12
1717520487.7388732,30.5170738697052,21651.6,2.06233e-05,0.00040734,2.16716e-13,-9.03105e-12
1717520490.8037283,33.581928968429565,21651.8,2.05041e-05,0.000407817,1.66623e-12,-8.08958e-12
1717520493.8690088,36.64720940589905,21652.0,2.08617e-05,0.000407817,7.10547e-14,-1.00827e-11
1717520496.9337454,39.7119460105896,21652.2,2.1577e-05,0.000407221,8.84629e-13,-9.0275e-12
1717520499.99649,42.77469062805176,21652.4,2.05041e-05,0.000407698,5.89754e-13,-8.58341e-12
1717520503.0574741,45.83567476272583,21652.6,2.08617e-05,0.000408294,6.07518e-13,-9.43962e-12
1717520506.1191003,48.89730095863342,21652.8,2.12194e-05,0.000408294,-7.10548e-15,-8.1784e-12
1717520509.1857262,51.963926792144775,21653.0,2.14578e-05,0.000408294,2.0819e-12,-9.23001e-12
1717520512.2478056,55.02600622177124,21653.2,2.06233e-05,0.000408413,1.29319e-12,-9.29395e-12
1717520515.3103862,58.08858680725098,21653.4,2.14578e-05,0.000408771,6.14623e-13,-8.08958e-12
1717520518.3703415,61.148542165756226,21653.6,2.08617e-05,0.000408651,9.30818e-13,-1.01537e-11
1717520521.4371066,64.21530723571777,21653.8,2.0981e-05,0.000408771,2.41586e-12,-1.01217e-11
1717520524.5027223,67.28092288970947,21654.0,2.1577e-05,0.000408532,1.00542e-12,-8.29209e-12
1717520527.5649586,70.34315919876099,21654.2,2.11002e-05,0.00040889,3.76589e-13,-8.37735e-12
1717520530.627889,73.40608954429626,21654.4,2.0981e-05,0.000409009,1.49215e-12,-7.79826e-12
1717520533.6922438,76.47044444084167,21654.6,2.08617e-05,0.000409605,1.22925e-12,-8.9671e-12
1717520536.7549756,79.53317618370056,21654.8,2.11002e-05,0.000409009,-4.2988e-13,-9.09856e-12
1717520539.81593,82.59413051605225,21655.0,2.12194e-05,0.000410201,6.53703e-13,-9.12698e-12
1717520542.8800063,85.65820693969727,21655.2,2.14578e-05,0.000409963,6.43045e-13,-8.30275e-12
1717520545.944849,88.72304964065552,21655.4,2.1577e-05,0.000410559,3.01982e-13,-9.2904e-12
1717520549.006273,91.78447365760803,21655.6,2.16962e-05,0.000409486,7.63837e-13,-8.3063e-12
1717520552.0681303,94.84633088111877,21655.8,2.14578e-05,0.000409963,1.6236e-12,-9.23001e-12
1717520555.129593,97.9077935218811,21656.0,2.14578e-05,0.000410439,1.20793e-12,-8.08248e-12
1717520558.1924047,100.97060537338257,21656.2,2.11002e-05,0.000409963,6.96335e-13,-9.19803e-12
1717520561.254446,104.03264665603638,21656.4,2.14578e-05,0.000410439,-3.76589e-13,-7.99011e-12
1717520564.3170757,107.09527635574341,21656.6,2.0981e-05,0.000410797,9.09502e-13,-9.7487e-12
1717520567.3805892,110.15878987312317,21656.8,2.0981e-05,0.000410678,5.5778e-13,-7.49273e-12
1717520570.441327,113.21952772140503,21657.0,2.11002e-05,0.000411155,5.15147e-13,-8.08958e-12
1717520573.504095,116.28229570388794,21657.2,2.14578e-05,0.000410559,3.76589e-13,-8.26011e-12
1717520576.5654864,119.34368705749512,21657.4,2.2173e-05,0.000410797,1.5632e-13,-7.13388e-12
1717520579.6279428,122.40614342689514,21657.6,2.18154e-05,0.000411751,-1.71952e-12,-8.04695e-12
1717520582.693095,125.47129559516907,21657.8,2.18154e-05,0.000411989,-8.52656e-14,-7.73787e-12
1717520585.7565308,128.53473138809204,21658.0,2.22923e-05,0.000411632,4.36986e-13,-9.14474e-12
1717520588.8208783,131.5990788936615,21658.2,2.16962e-05,0.000411751,1.13332e-12,-7.0273e-12
1717520591.8867102,134.66491079330444,21658.4,2.14578e-05,0.000411989,5.5778e-13,-7.35417e-12
1717520594.9492173,137.72741794586182,21658.6,2.13386e-05,0.000411989,1.38201e-12,-7.98656e-12
1717520598.0138237,140.79202437400818,21658.8,2.16962e-05,0.000411989,3.87248e-13,-8.51946e-12
1717520601.0759377,143.8541383743286,21659.0,2.2173e-05,0.000412347,1.70886e-12,-8.66868e-12
1717520604.1428125,146.92101311683655,21659.2,2.22923e-05,0.000412108,1.49215e-12,-9.79489e-12
