#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23100
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 300
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717769597.4296274,6.004785060882568,22900.0,2.0480594752025018e-05,3.6471481311956847e-07,0.0004357648042082055,6.293949486246806e-13,4.301936847513222e-13,6.185613065957486e-13,-8.208282180188173e-12,6.293949486246806e-13
1717769813.9667919,222.54194951057434,22901.0,2.0512828120478878e-05,3.401678630026751e-07,0.0004364428696808992,6.160432731492078e-13,4.4112511145532376e-13,6.730809824741532e-13,-8.157871485503181e-12,6.160432731492078e-13
1717769995.9966147,404.57177233695984,22902.0,2.0647730146135604e-05,3.607471180892601e-07,0.00043699400765555247,6.449600895299308e-13,4.606425131446936e-13,6.642643839256078e-13,-8.060014194527936e-12,6.449600895299308e-13
1717770191.0440183,599.6191759109497,22903.0,2.0782614863196086e-05,3.3624749039670805e-07,0.00043770670890808105,6.614007688731052e-13,4.677137522226512e-13,6.44859335629757e-13,-7.988025808924254e-12,6.614007688731052e-13
1717770380.3258977,788.9010553359985,22904.0,2.07938646015368e-05,3.204106638775886e-07,0.0004384586685582211,6.852542156526308e-13,4.652050824332922e-13,7.187663372571701e-13,-8.073077249439219e-12,6.852542156526308e-13
