#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 22800
#	start frequency (Hz): 22700
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 10
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717563351.7371714,6.0172059535980225,22700.0,2.417564392089844e-05,4.76837158203125e-08,0.0004603862762451172,4.0886718357990136e-13,-1.1102230246251565e-12,6.216157651496604e-13,2.9206148610683155e-11,4.0886718357990136e-13
1717563399.8290873,54.109121799468994,22701.0,2.43683656056722e-05,5.877097232242044e-08,0.0004631181557973226,2.2985837858522217e-13,-1.2288836614970932e-12,4.65975881779279e-13,2.8973445864721726e-11,2.2985837858522217e-13
1717563447.9224973,102.2025318145752,22702.0,2.4557113647460938e-05,0.0,0.00046395171772349965,7.449373044195018e-13,-1.4665602066088468e-12,5.353829890277932e-13,2.914894992045447e-11,7.449373044195018e-13
1717563496.002374,150.28240847587585,22703.0,2.5510787963867188e-05,0.0,0.000467054545879364,6.2168439153489e-13,-1.2725820397463394e-12,5.671711279025206e-13,2.9339375373638174e-11,6.2168439153489e-13
1717563544.0940475,198.37408208847046,22704.0,2.5212764739990234e-05,3.1200056858783725e-07,0.00046876668930053713,5.965635734576831e-13,-1.13509202037676e-12,5.813204768077806e-13,2.957349920507113e-11,5.965635734576831e-13
1717563592.183243,246.46327757835388,22705.0,2.5963783264160158e-05,4.5487365790221484e-07,0.0004706263542175293,8.449467572935379e-13,-1.439914854017843e-12,6.176064476467993e-13,2.937312615358678e-11,8.449467572935379e-13
1717563640.2638938,294.5439283847809,22706.0,2.6428699493408202e-05,3.245033642963457e-07,0.00047278404235839844,7.061544620828943e-13,-9.112710586123285e-13,4.193142902397675e-13,2.9830360404048406e-11,7.061544620828943e-13
1717563688.3710828,342.6511173248291,22707.0,2.6869773864746094e-05,2.8808226522432734e-07,0.0004750728607177734,3.483661762397788e-13,-9.926282018568599e-13,5.752636662435044e-13,2.97770696988664e-11,3.483661762397788e-13
1717563736.472758,390.752792596817,22708.0,2.7239322662353516e-05,3.2537803802385763e-07,0.0004773497581481934,5.956078656246672e-13,-1.2299494756007334e-12,7.741962267076031e-13,2.99319680152621e-11,5.956078656246672e-13
1717563784.5672443,438.8472788333893,22709.0,2.7859210968017577e-05,3.0648613291221715e-07,0.000479888916015625,5.51911068424971e-13,-1.304911734223424e-12,4.2937907040138547e-13,2.986126901305397e-11,5.51911068424971e-13
1717563832.6689136,486.9489481449127,22710.0,2.821683883666992e-05,3.991286526389886e-07,0.00048242807388305665,5.590351609155674e-13,-9.304557124778511e-13,6.524652252000169e-13,3.039239970803465e-11,5.590351609155674e-13
1717563880.7540107,535.0340452194214,22711.0,2.9087066650390625e-05,3.0625420996344397e-07,0.0004853248596191406,6.307931928915254e-13,-1.2818190953112208e-12,8.271596419481915e-13,3.03753466823764e-11,6.307931928915254e-13
1717563928.8272872,583.1073217391968,22712.0,2.994537353515625e-05,3.3207865422210975e-07,0.00048812627792358396,6.529057498144573e-13,-1.4225065569917205e-12,5.115123079700928e-13,3.042721630208689e-11,6.529057498144573e-13
1717563976.926857,631.2068915367126,22713.0,3.0601024627685546e-05,3.20094146301688e-07,0.0004910826683044434,7.652090852957391e-13,-1.0526690630285885e-12,5.5478567547168e-13,3.0746960533178935e-11,7.652090852957391e-13
1717564024.9966712,679.2767057418823,22714.0,3.139972686767578e-05,2.6226043701171877e-07,0.0004944205284118652,6.135001638620423e-13,-1.1812772982011666e-12,6.355431417662842e-13,3.120028679859388e-11,6.135001638620423e-13
