#Procedure: <__main__.zurich_sr830_fsweep>
#Parameters:
#	Delay (s): 1
#	Drive Amplitude (Vpp): 4
#	stop frequency (Hz): 27000
#	start frequency (Hz): 22000
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#	Zurich addr.: dev4934
#Data:
UTC,timestamp,f,X_zur,Y_zur,X_sr,Y_sr
1698377755.5439126,6.009293556213379,22000.000000090837,-8.964461326295826e-11,-1.1592966380917324e-10,-0.00846487,0.00669292
1698377756.5942607,7.059641599655151,22000.99999996041,3.4986333607854476e-10,8.022957580669884e-11,-0.00846487,0.00669482
1698377757.6406145,8.105995416641235,22002.000000043154,-2.2790395439950609e-10,-1.9185743111291751e-10,-0.00846487,0.00669482
1698377758.6969619,9.16234278678894,22002.999999912732,3.684514257595857e-11,4.4056834309671653e-11,-0.00846487,0.00669482
1698377759.7523103,10.21769118309021,22003.99999999547,-8.680770283392318e-11,-1.0062522652297255e-10,-0.00846487,0.00669482
1698377760.8086588,11.27403974533081,22005.000000078213,-2.5554889639478765e-11,1.0632087738020233e-10,-0.00846487,0.00669482
1698377761.8610077,12.326388597488403,22005.999999947788,2.1853672031251126e-10,2.3848402118768754e-10,-0.00846678,0.00669482
1698377762.9153557,13.380736589431763,22007.00000003053,3.4407195480007097e-10,-8.110679546131502e-12,-0.00846487,0.00669673
1698377763.969705,14.435086011886597,22007.99999990011,7.865119884196365e-11,-3.642543765160545e-10,-0.00846678,0.00669673
1698377765.0220578,15.487438678741455,22008.999999982847,-6.094280865397029e-10,-3.056146080368834e-10,-0.00846678,0.00670055
1698377766.0784035,16.543784379959106,22010.00000006559,-1.9079913996385534e-12,2.7448348320130024e-11,-0.00846487,0.00669864
1698377767.134748,17.600128889083862,22010.999999935164,-2.1528268992786212e-10,-9.194467886846686e-11,-0.00846678,0.00669864
1698377768.1920972,18.657478094100952,22012.000000017906,-2.1110617201498525e-10,1.5038890497556208e-11,-0.00846678,0.00669864
1698377769.24145,19.706830978393555,22013.00000010065,8.841217685147811e-11,-3.4907034435269746e-11,-0.00846869,0.00669864
1698377770.2967978,20.762178659439087,22013.999999970223,-2.2369676317336244e-10,-5.964846285960427e-11,-0.00846869,0.00670055
1698377771.3511567,21.816537618637085,22015.000000052965,-7.980361253697757e-11,4.187562779307192e-11,-0.00846869,0.00670055
1698377772.4044962,22.869877099990845,22015.99999992254,3.604007941714826e-10,-1.0908753602723924e-11,-0.00846869,0.00670055
1698377773.4578454,23.923226356506348,22017.000000005282,-1.5582717210332322e-10,2.179393946414547e-10,-0.00846869,0.00670245
1698377774.516192,24.98157286643982,22018.000000088025,-6.40212652408457e-12,-2.4745176010592517e-10,-0.00846869,0.00670245
1698377775.5725572,26.037938117980957,22018.9999999576,6.636616583046404e-11,-1.8246348155952903e-10,-0.00847059,0.00670245
1698377776.6248903,27.09027123451233,22020.00000004034,1.7934445085806823e-10,5.088343991090007e-11,-0.00847059,0.00670436
1698377777.6752408,28.140621662139893,22020.999999909916,4.2795270618859525e-11,-1.8538876328827832e-10,-0.00847059,0.00670436
1698377778.7315888,29.196969747543335,22021.99999999266,-1.8805492972955203e-10,5.288246178862075e-11,-0.00847059,0.00670436
1698377779.787936,30.25331687927246,22023.0000000754,1.2348420402827173e-11,1.671781532527627e-10,-0.00847059,0.00670627
1698377780.8402867,31.305667638778687,22023.999999944976,-1.2549237842688652e-10,3.047016440776942e-11,-0.00847059,0.00670627
1698377781.8946352,32.360016107559204,22025.000000027718,-2.357553331340898e-11,-1.0243915721801672e-10,-0.0084725,0.00670627
1698377782.9499843,33.41536521911621,22025.999999897293,2.3019307408475617e-10,3.145449329338984e-11,-0.0084725,0.00670627
1698377784.0043323,34.46971321105957,22026.999999980035,-2.1508108710276174e-10,1.2863194045900173e-10,-0.0084725,0.00670627
1698377785.0606802,35.526061058044434,22028.000000062777,-2.679812355195968e-10,3.8652085197617376e-11,-0.0084725,0.00670627
1698377786.111032,36.57641291618347,22028.99999993235,2.6835809675154825e-11,2.708973028860946e-11,-0.0084725,0.00670627
1698377787.1713855,37.63676643371582,22030.000000015094,3.5319664708337145e-10,3.273144929805702e-10,-0.0084725,0.00670627
1698377788.2197304,38.68511128425598,22031.000000097833,-2.536639718214566e-10,-7.770137743376838e-11,-0.0084725,0.00670627
1698377789.2800722,39.745453119277954,22031.99999996741,8.095936566529069e-11,2.0770990650833277e-10,-0.0084725,0.00670817
1698377790.3304243,40.79580521583557,22033.000000050153,-2.568288888101028e-10,-6.995976710855682e-11,-0.0084725,0.00670627
1698377791.383775,41.84915590286255,22033.999999919728,6.077032692406617e-11,-2.2660949110656103e-10,-0.0084725,0.00670817
1698377792.4391232,42.90450406074524,22035.00000000247,-1.6670426293106206e-10,4.906499479676621e-11,-0.00847441,0.00671008
1698377793.4914706,43.95685148239136,22036.00000008521,3.433391347149669e-10,5.275191468316465e-11,-0.00847441,0.00671008
1698377794.5478215,45.01320242881775,22036.999999954787,-2.479046862074697e-11,-8.88140838331736e-11,-0.00847441,0.00671008
1698377795.6031702,46.0685510635376,22038.00000003753,-4.4797755612594206e-11,-1.706256852446938e-10,-0.00847441,0.00671199
1698377796.6575181,47.12289905548096,22038.999999907104,1.7022087171920084e-10,-1.0327327344653016e-10,-0.00847632,0.00671199
1698377797.7168634,48.182244300842285,22039.999999989846,-3.681824158549273e-11,3.8366687333249827e-11,-0.00847632,0.00671199
1698377798.766216,49.23159694671631,22041.000000072585,-3.672619072501362e-10,7.265360755726376e-10,-0.00847441,0.00671199
1698377799.8205824,50.28596329689026,22041.999999942163,4.2840476651113624e-11,-1.0538472291199086e-10,-0.00847632,0.00671199
1698377800.872915,51.33829593658447,22043.000000024906,4.476201130802119e-11,1.7566668349256393e-10,-0.00847822,0.00671199
1698377801.9292629,52.394643783569336,22043.99999989448,-4.745489321568854e-11,-3.227333470662726e-11,-0.00847822,0.0067139
1698377802.979613,53.44499397277832,22044.999999977223,4.6230063291167714e-11,-1.7766193304748364e-10,-0.00847822,0.0067139
1698377804.0379615,54.503342390060425,22046.00000005996,2.1717083025177758e-10,-4.2218488646728816e-10,-0.00847822,0.0067139
1698377805.0903103,55.55569124221802,22046.99999992954,1.0928592310175519e-10,3.02255199979237e-11,-0.00847822,0.0067139
1698377806.14466,56.61004090309143,22048.00000001228,2.186686897691874e-10,-2.7658411042921724e-10,-0.00847822,0.0067158
1698377807.2030044,57.66838526725769,22049.00000009502,3.643175783833099e-10,1.323934410224158e-10,-0.00847822,0.0067158
1698377808.2543561,58.71973705291748,22049.9999999646,2.890074825572044e-10,-1.752028114707609e-10,-0.00847822,0.0067158
1698377809.3107038,59.776084661483765,22051.000000047337,-5.636276969997e-11,-3.352507798988542e-10,-0.00847822,0.0067158
1698377810.3630538,60.82843470573425,22051.999999916916,-1.629516675231125e-10,-1.6694804156190428e-10,-0.00847822,0.0067158
1698377811.4194112,61.88479208946228,22052.999999999658,3.4552003202477967e-12,-4.770943224271711e-11,-0.00847822,0.00671771
1698377812.4717515,62.937132358551025,22054.000000082397,-1.9747744999005593e-10,1.3972745496105176e-11,-0.00847822,0.00671771
1698377813.524102,63.98948287963867,22054.999999951975,1.1224095052341041e-10,-8.05310524239885e-11,-0.00847822,0.00671962
