#Procedure: <__main__.zurich_sr830_fsweep>
#Parameters:
#	Delay (s): 1
#	Drive Amplitude (Vpp): 4
#	stop frequency (Hz): 23500
#	start frequency (Hz): 22500
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#	Zurich addr.: dev4934
#Data:
UTC,timestamp,f,X_zur,Y_zur,X_sr,Y_sr
1701379427.453896,6.00929856300354,22499.999999894273,-1.482839488526276e-10,2.6602040068006613e-09,4.67303e-05,0.00147153
1701379428.5142431,7.069645643234253,22500.99999997701,4.323922972358209e-11,2.4558859750626062e-09,4.64919e-05,0.00147153
1701379429.5745888,8.129991292953491,22502.00000005975,-9.56843494327213e-11,2.4266851045153235e-09,4.62534e-05,0.001472
1701379430.634936,9.190338611602783,22502.99999992933,-5.0612327400090246e-11,2.521147530567321e-09,4.6015e-05,0.00147153
1701379431.6802917,10.235694169998169,22504.00000001207,-1.080649273413927e-10,2.516922034299389e-09,4.6015e-05,0.00147153
1701379432.7366579,11.292060375213623,22505.00000009481,-3.8533226108708505e-11,2.468710635758715e-09,4.64919e-05,0.001472
1701379433.7910068,12.346409320831299,22505.999999964388,7.322511446160888e-12,2.5064971893182635e-09,4.69687e-05,0.00147224
1701379434.843358,13.398760557174683,22507.000000047126,-8.352541094894551e-12,2.571530241007412e-09,4.67303e-05,0.00147224
1701379435.900707,14.456109523773193,22507.999999916705,-1.1662290542554596e-11,2.606617914047626e-09,4.64919e-05,0.00147224
1701379436.9520652,15.50746774673462,22508.999999999447,-7.21226685833683e-11,2.484224838929192e-09,4.64919e-05,0.00147272
1701379438.0064087,16.561811208724976,22510.000000082186,-6.042073773072494e-11,2.5941035114415567e-09,4.64919e-05,0.00147248
1701379439.0647538,17.620156288146973,22510.999999951764,-9.498752101761977e-11,2.5984113185561786e-09,4.64919e-05,0.00147272
1701379440.1251013,18.680503845214844,22512.000000034503,7.016458568424161e-12,2.4818989236362934e-09,4.64919e-05,0.00147272
1701379441.1684594,19.723861932754517,22512.99999990408,-6.814917584681186e-11,2.4734223906198263e-09,4.62534e-05,0.00147272
1701379442.2278073,20.783209800720215,22513.999999986823,-1.7916325568090748e-10,2.5437064538065506e-09,4.64919e-05,0.0014732
1701379443.2821567,21.83755922317505,22515.00000006956,-6.089574119685867e-11,2.5632704619486067e-09,4.64919e-05,0.0014732
1701379444.333508,22.88891053199768,22515.99999993914,-6.874353313271359e-11,2.5583109087684225e-09,4.64919e-05,0.00147343
1701379445.3878605,23.943263053894043,22517.00000002188,-6.436170191329281e-11,2.6440487561194514e-09,4.67303e-05,0.0014732
1701379446.4452045,25.000607013702393,22518.00000010462,8.177857812667247e-11,2.676387024251341e-09,4.64919e-05,0.00147415
1701379447.5075533,26.062955856323242,22518.9999999742,9.533463655666529e-12,2.5029170694560823e-09,4.64919e-05,0.00147439
1701379448.5559058,27.111308336257935,22520.000000056938,4.4987855945219526e-11,2.5701018293343542e-09,4.67303e-05,0.00147391
1701379449.6052601,28.16066265106201,22520.999999926516,-7.020447335975994e-11,2.7121438207785446e-09,4.64919e-05,0.00147391
1701379450.6606083,29.216010808944702,22522.000000009255,-4.634391323012777e-11,2.7257597416424936e-09,4.67303e-05,0.00147439
1701379451.716958,30.2723605632782,22523.000000091997,-1.7826080475247506e-11,2.6446966680208554e-09,4.64919e-05,0.00147463
1701379452.7663105,31.321712970733643,22523.999999961576,3.378869532817924e-11,2.6803208148364516e-09,4.69687e-05,0.00147439
1701379453.8286595,32.38406205177307,22525.000000044314,5.95202038843717e-11,2.5498528044764586e-09,4.64919e-05,0.00147439
1701379454.8750105,33.430413007736206,22525.999999913893,1.165153014636826e-10,2.601103272843485e-09,4.64919e-05,0.00147463
1701379455.932359,34.48776149749756,22526.99999999663,-4.590310803463224e-11,2.6549398849353183e-09,4.69687e-05,0.00147486
1701379456.9867089,35.54211139678955,22528.000000079373,6.431754718411438e-11,2.793418824731968e-09,4.69687e-05,0.0014751
1701379458.0400596,36.59546208381653,22528.999999948952,-1.4665894350441828e-10,2.5933969739333444e-09,4.64919e-05,0.00147534
1701379459.0954094,37.65081191062927,22530.00000003169,-5.977907180641776e-11,2.788972740342216e-09,4.67303e-05,0.00147534
1701379460.151759,38.70716142654419,22530.99999990127,-1.8542512600642526e-11,2.63566127465763e-09,4.64919e-05,0.00147534
1701379461.2031105,39.7585129737854,22531.999999984007,1.3401665297126077e-10,2.6264203824637882e-09,4.67303e-05,0.00147534
1701379462.2604654,40.81586790084839,22533.00000006675,-2.2563252134247036e-11,2.5287798053726625e-09,4.69687e-05,0.00147534
1701379463.3118103,41.867212772369385,22533.999999936328,1.0491757329824602e-11,2.625128392825139e-09,4.64919e-05,0.00147534
1701379464.3711562,42.92655873298645,22535.000000019067,1.692630727759019e-10,2.7245786335576492e-09,4.67303e-05,0.00147558
1701379465.4295053,43.98490786552429,22536.00000010181,9.228690894027833e-11,2.6978580961726744e-09,4.69687e-05,0.00147606
1701379466.47586,45.03126263618469,22536.999999971384,1.1966376865126234e-10,2.680236710590397e-09,4.69687e-05,0.00147653
1701379467.5352046,46.09060716629028,22538.000000054126,1.0639069627269875e-10,2.6362212481488213e-09,4.64919e-05,0.00147677
1701379468.5845609,47.13996338844299,22538.999999923704,-9.535275607438137e-11,2.5797124710040467e-09,4.67303e-05,0.0014763
1701379469.638912,48.19431447982788,22540.000000006443,-8.203818814500724e-11,2.7571889418207096e-09,4.69687e-05,0.00147677
1701379470.6942728,49.249675273895264,22541.000000089185,-9.156064403905787e-11,2.78753313538347e-09,4.69687e-05,0.00147701
