#Procedure: <__main__.zurich_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 10
#	stop frequency (Hz): 750
#	start frequency (Hz): 650
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#	Zurich addr.: dev4934
#Data:
UTC,timestamp,f,X_zur,Y_zur,X_sr,Y_sr
1699212032.2668235,18.00488805770874,650.0000000642103,3.8921003577066895e-09,2.573718744804184e-09,0.000936512,0.00157738
1699212035.34992,21.087984561920166,650.9999999337879,4.0215019756998014e-09,2.1982650839883747e-09,0.00149918,0.00124169
1699212038.405034,24.14309859275818,652.0000000165282,3.900023101367704e-09,2.7426721160622633e-09,0.000593189,0.00216104
1699212041.4711423,27.2092068195343,653.0000000992686,4.346145169406434e-09,2.6399524464471126e-09,0.00173188,0.00162888
1699212044.5302536,30.26831817626953,653.9999999688462,4.0447954505821426e-09,2.2810286712555985e-09,0.00122834,0.0020466
1699212047.5923634,33.33042788505554,655.0000000515865,4.044185571115535e-09,2.311991463916359e-09,0.00149728,0.00166894
1699212050.6564717,36.39453625679016,655.9999999211641,3.941676904211809e-09,2.6963547327744567e-09,0.00131226,0.00136948
1699212053.7195778,39.45764231681824,657.0000000039045,3.824652895742213e-09,2.742299583725329e-09,0.00111581,0.00135804
1699212056.7866874,42.52475190162659,658.0000000866448,3.7474412400176386e-09,2.22506459278674e-09,0.00130082,0.00179482
1699212059.8457992,45.583863735198975,658.9999999562224,2.480601739323623e-09,4.86222490194757e-09,0.00146294,0.0015564
1699212062.9129057,48.650970220565796,660.0000000389628,-2.0321791851581542e-08,6.450548325475503e-08,0.00562289,0.00233461
1699212065.9700189,51.708083391189575,660.9999999085403,3.155776836023574e-11,6.459562797907522e-09,0.00144769,0.000978477
1699212069.0331278,54.7711923122406,661.9999999912807,4.6195014083451796e-09,1.855742688080494e-09,0.00133324,0.00123978
1699212072.095237,57.83330154418945,663.000000074021,4.170173793545996e-09,2.7902938572601976e-09,0.00152016,0.00131417
1699212075.1573477,60.89541220664978,663.9999999435986,4.2126054988247445e-09,2.4210134481047617e-09,0.00143624,0.00139046
1699212078.2234545,63.96151900291443,665.000000026339,4.297801986933157e-09,2.9869806654959873e-09,0.00102807,0.00130654
1699212081.2875643,67.02562880516052,665.9999998959165,4.539149201126771e-09,2.5623578690375618e-09,0.00119782,0.0013466
1699212084.3456752,70.08373975753784,666.9999999786569,3.864730176862304e-09,2.333800498855844e-09,0.00131417,0.0013485
1699212087.4077852,73.14584970474243,668.0000000613973,3.780413258380089e-09,2.2924817524860935e-09,0.000968937,0.00159837
1699212090.4718933,76.20995783805847,668.9999999309748,4.031945991501719e-09,2.254853079911969e-09,0.000968937,0.00125886
1699212093.5360048,79.27406930923462,670.0000000137152,4.336477757370655e-09,2.4411953750898864e-09,0.0010872,0.00142098
1699212096.5991113,82.33717584609985,671.0000000964556,3.827672671065059e-09,2.2577058835698538e-09,0.000949863,0.00154305
1699212099.6612206,85.3992850780487,671.9999999660331,3.8991422330730025e-09,2.3083928534883172e-09,0.00141145,0.000989921
1699212102.728328,88.46639251708984,673.0000000487735,4.039729159219099e-09,2.1816171432128165e-09,0.00090218,0.00124169
1699212105.7924356,91.53050017356873,673.999999918351,4.331875028822628e-09,2.4534685345607663e-09,0.00106431,0.00131989
1699212108.8505487,94.58861327171326,675.0000000010914,4.029654150796744e-09,2.3785098213273663e-09,0.000787739,0.000953678
1699212111.9176524,97.65571689605713,676.0000000838318,3.7573542859249815e-09,2.5324641897634077e-09,0.000938419,0.00142098
1699212114.9737682,100.71183276176453,676.9999999534093,4.38456034036388e-09,2.438112212375713e-09,0.000972752,0.00112153
1699212118.0358784,103.7739429473877,678.0000000361497,3.8512431952285185e-09,2.363068714641328e-09,0.00037575,0.000833515
1699212121.1059844,106.8440489768982,678.9999999057272,4.384341545641425e-09,2.5697195260629523e-09,0.000860218,0.0011921
1699212124.1620927,109.90015721321106,679.9999999884676,4.046956744181662e-09,2.540883334000214e-09,0.000978477,0.00108338
1699212127.2262053,112.9642698764801,681.000000071208,3.8776853846638695e-09,2.6118128972754044e-09,0.00125123,0.000957493
1699212130.2953107,116.03337526321411,681.9999999407855,3.938368886322155e-09,2.3389075436734098e-09,0.00110818,0.00115777
1699212133.3574214,119.09548592567444,683.0000000235259,4.0222992963206666e-09,2.5085607117317447e-09,0.000814442,0.00110436
1699212136.41653,122.15459442138672,684.0000001062663,3.999997633128191e-09,2.477969523787558e-09,0.0010891,0.00144959
1699212139.4776428,125.2157073020935,684.9999999758438,4.009436232141617e-09,2.273731081876467e-09,0.00113488,0.00145722
1699212142.5417478,128.27981233596802,686.0000000585842,4.015994075203617e-09,2.3663384527307546e-09,0.000728611,0.000963215
1699212145.6088576,131.34692215919495,686.9999999281617,4.081653085112294e-09,2.413455259245577e-09,0.00110818,0.000452043
1699212148.6689682,134.4070327281952,688.0000000109021,4.256582557783379e-09,2.797334928688864e-09,0.000839237,0.00104523
1699212151.7270796,137.46514415740967,689.0000000936425,4.06135112405247e-09,2.529902906264272e-09,0.000560764,0.000659946
1699212154.7921891,140.53025364875793,689.99999996322,3.948874619798751e-09,2.59179367490158e-09,0.000356676,0.00102044
1699212157.855298,143.59336256980896,691.0000000459604,3.806185891438948e-09,2.5849076397558975e-09,0.000572208,0.000665668
1699212160.9174056,146.65547013282776,691.999999915538,3.908845513096069e-09,2.7433427855831876e-09,0.000806812,8.39238e-05
1699212163.98651,149.72457456588745,692.9999999982783,3.877302153772106e-09,2.56980758815588e-09,0.000169755,0.000406267
1699212167.043625,152.78168964385986,694.0000000810187,3.858615241601952e-09,2.4405522249730013e-09,0.00055695,-0.000270845
1699212170.1067345,155.84479904174805,694.9999999505962,3.973581293380231e-09,2.258592379428079e-09,0.000213624,6.10356e-05
1699212173.166847,158.90491151809692,696.0000000333366,3.9700399480491355e-09,2.653774484555252e-09,-0.000762943,-0.000370027
1699212176.236951,161.9750156402588,696.9999999029142,3.920076831218954e-09,2.5160604605081934e-09,0.000383379,-9.53679e-05
1699212179.294064,165.032128572464,697.9999999856545,4.121903274667655e-09,2.9329196929595326e-09,-0.00765994,-0.0107213
1699212182.3571727,168.09523725509644,699.0000000683949,3.7219832557851943e-09,2.5507650881807165e-09,-0.00152589,-0.00724795
1699212185.4252794,171.1633439064026,699.9999999379725,4.530530309305586e-09,2.315908062604114e-09,-0.001894,0.00017357
1699212188.4843876,174.2224521636963,701.0000000207128,3.962734937707116e-09,2.3248291731388774e-09,-0.00241663,-0.000926975
1699212191.5444992,177.28256368637085,702.0000001034532,4.13236868757923e-09,3.005562323675859e-09,-0.00406459,-0.0010109
1699212194.6116083,180.34967279434204,702.9999999730308,4.013338298110385e-09,2.6052889432772557e-09,-0.00418666,-0.000608448
1699212197.673718,183.41178250312805,704.0000000557711,4.696870945055179e-09,2.7200991548349057e-09,-0.00683978,0.000684742
1699212200.7288322,186.46689677238464,704.9999999253487,2.8897192996083933e-09,1.9010708570154455e-09,-0.00763133,0.00203516
1699212203.7969368,189.53500127792358,706.000000008089,3.8419019345116294e-09,2.632852440204851e-09,-0.00850493,0.00575259
1699212206.8600483,192.59811282157898,707.0000000908294,4.00345493605459e-09,2.672830094898182e-09,-0.00662997,0.00912291
1699212209.9211574,195.6592218875885,707.999999960407,3.977001677016267e-09,2.646995125751072e-09,-0.00373651,0.00905615
1699212212.9862657,198.72433018684387,709.0000000431473,3.9078826431614646e-09,2.4193566562988525e-09,-0.00117493,0.00858313
1699212216.046376,201.78444051742554,709.9999999127249,4.111779844462462e-09,2.6956500505069665e-09,-0.000413897,0.00817114
1699212219.1174786,204.85554313659668,710.9999999954653,3.99070856651694e-09,2.7633319530573187e-09,0.00102807,0.00775531
